Sentence,mV,Hz,uA,Output,Concentration
Lowest trough value in cleaned_30mV 20Hz_µA_4.csv: -0.006082233177184985,30.0,20.0,4,-0.006082233177184985,0ng/mL
Lowest trough value in cleaned_30mV 20Hz_µA_7.csv: -0.7949704561966897,30.0,20.0,7,-0.7949704561966897,100ng/mL
Lowest trough value in cleaned_30mV 40Hz_µA_1.csv: -0.016463619985902234,30.0,40.0,1,-0.016463619985902234,0ng/mL
Lowest trough value in cleaned_30mV 40Hz_µA_2.csv: -0.025321827120550644,30.0,40.0,2,-0.025321827120550644,0ng/mL
Lowest trough value in cleaned_30mV 40Hz_µA_3.csv: -0.014109001832828733,30.0,40.0,3,-0.014109001832828733,0ng/mL
Lowest trough value in cleaned_30mV 60Hz_µA_1.csv: 0.07806771649567579,30.0,60.0,1,0.07806771649567579,0ng/mL
Lowest trough value in cleaned_30mV 60Hz_µA_2.csv: 0.04747138608477458,30.0,60.0,2,0.04747138608477458,0ng/mL
Lowest trough value in cleaned_30mV 60Hz_µA_3.csv: 0.03694583234831743,30.0,60.0,3,0.03694583234831743,0ng/mL
Lowest trough value in cleaned_30mV 60Hz_µA_5.csv: 0.009328292704781638,30.0,60.0,5,0.009328292704781638,100ng/mL
Lowest trough value in cleaned_30mV 60Hz_µA_6.csv: -0.03334780340856003,30.0,60.0,6,-0.03334780340856003,100ng/mL
Lowest trough value in cleaned_30mV 60Hz_µA_7.csv: -0.022246130040907947,30.0,60.0,7,-0.022246130040907947,100ng/mL
Lowest trough value in cleaned_30mV 60Hz_µA_8.csv: -0.011145798835699883,30.0,60.0,8,-0.011145798835699883,100ng/mL
Lowest trough value in cleaned_30mV 80Hz_µA_1.csv: 0.09962744202313473,30.0,80.0,1,0.09962744202313473,0ng/mL
Lowest trough value in cleaned_30mV 80Hz_µA_2.csv: 0.04484379383150994,30.0,80.0,2,0.04484379383150994,0ng/mL
Lowest trough value in cleaned_30mV 80Hz_µA_3.csv: 0.04238081158527618,30.0,80.0,3,0.04238081158527618,0ng/mL
Lowest trough value in cleaned_30mV 80Hz_µA_5.csv: 0.010531853070085806,30.0,80.0,5,0.010531853070085806,100ng/mL
Lowest trough value in cleaned_30mV 80Hz_µA_6.csv: -0.034056319283167547,30.0,80.0,6,-0.034056319283167547,100ng/mL
Lowest trough value in cleaned_30mV 80Hz_µA_7.csv: -0.024812078094927387,30.0,80.0,7,-0.024812078094927387,100ng/mL
Lowest trough value in cleaned_30mV 80Hz_µA_8.csv: -0.019969234181377082,30.0,80.0,8,-0.019969234181377082,100ng/mL
Lowest trough value in cleaned_30mV 100Hz_µA_1.csv: 0.11200486230640905,30.0,100.0,1,0.11200486230640905,0ng/mL
Lowest trough value in cleaned_30mV 100Hz_µA_2.csv: 0.05086418479457566,30.0,100.0,2,0.05086418479457566,0ng/mL
Lowest trough value in cleaned_30mV 100Hz_µA_3.csv: 0.048609941449994504,30.0,100.0,3,0.048609941449994504,0ng/mL
Lowest trough value in cleaned_30mV 100Hz_µA_4.csv: 0.18973671573249973,30.0,100.0,4,0.18973671573249973,0ng/mL
