Lowest trough value in cleaned_20mV 80Hz_µA_8.csv: -0.02108190166652585
Lowest trough value in cleaned_30mV 100Hz_µA_1.csv: 0.11200486230640905
Lowest trough value in cleaned_30mV 100Hz_µA_2.csv: 0.05086418479457566
Lowest trough value in cleaned_30mV 100Hz_µA_3.csv: 0.048609941449994504
Lowest trough value in cleaned_30mV 100Hz_µA_4.csv: 0.18973671573249973
Lowest trough value in cleaned_30mV 100Hz_µA_5.csv: 0.010034241921652337
Lowest trough value in cleaned_30mV 100Hz_µA_6.csv: -0.0429183645040917
Lowest trough value in cleaned_30mV 100Hz_µA_7.csv: -0.030211799854891253
Lowest trough value in cleaned_30mV 100Hz_µA_8.csv: -0.025571589636171066
Lowest trough value in cleaned_30mV 150Hz_µA_1.csv: 0.14904073577804755
Lowest trough value in cleaned_30mV 150Hz_µA_2.csv: 0.06145915172188232
Lowest trough value in cleaned_30mV 150Hz_µA_3.csv: 0.05586527287477008
Lowest trough value in cleaned_30mV 150Hz_µA_4.csv: 0.26528766266642667
Lowest trough value in cleaned_30mV 150Hz_µA_5.csv: 0.024926099286906533
Lowest trough value in cleaned_30mV 150Hz_µA_6.csv: -0.06296119246142307
Lowest trough value in cleaned_30mV 150Hz_µA_7.csv: -0.0496827138297018
Lowest trough value in cleaned_30mV 150Hz_µA_8.csv: -0.03081608024954091
Lowest trough value in cleaned_30mV 200Hz_µA_1.csv: 0.17050709039518885
Lowest trough value in cleaned_30mV 200Hz_µA_2.csv: 0.09864261735148494
Lowest trough value in cleaned_30mV 200Hz_µA_3.csv: 0.08255251092759908
Lowest trough value in cleaned_30mV 200Hz_µA_4.csv: 0.3460842079610804
Lowest trough value in cleaned_30mV 200Hz_µA_5.csv: 0.02434023666226387
Lowest trough value in cleaned_30mV 200Hz_µA_6.csv: -0.07178662105386235
Lowest trough value in cleaned_30mV 200Hz_µA_7.csv: -0.04838903073152767
Lowest trough value in cleaned_30mV 200Hz_µA_8.csv: -0.0450553356080981
No troughs found in cleaned_30mV 20Hz_µA_1.csv
Lowest trough value in cleaned_30mV 20Hz_µA_2.csv: -0.007021533732302354
No troughs found in cleaned_30mV 20Hz_µA_3.csv
Lowest trough value in cleaned_30mV 20Hz_µA_4.csv: -0.006082233177184985
No troughs found in cleaned_30mV 20Hz_µA_5.csv
No troughs found in cleaned_30mV 20Hz_µA_6.csv
Lowest trough value in cleaned_30mV 20Hz_µA_7.csv: -0.7949704561966897
No troughs found in cleaned_30mV 20Hz_µA_8.csv
Lowest trough value in cleaned_30mV 300Hz_µA_1.csv: 0.23524149285553575
Lowest trough value in cleaned_30mV 300Hz_µA_2.csv: 0.1472764154164956
Lowest trough value in cleaned_30mV 300Hz_µA_3.csv: 0.11045195797450424
Lowest trough value in cleaned_30mV 300Hz_µA_4.csv: 0.46058069015914205
Lowest trough value in cleaned_30mV 300Hz_µA_5.csv: 0.04576162602447331
Lowest trough value in cleaned_30mV 300Hz_µA_6.csv: -0.08264454015958755
Lowest trough value in cleaned_30mV 300Hz_µA_7.csv: -0.041965922127051636
Lowest trough value in cleaned_30mV 300Hz_µA_8.csv: -0.03218083664511706
Lowest trough value in cleaned_30mV 40Hz_µA_1.csv: -0.016463619985902234
Lowest trough value in cleaned_30mV 40Hz_µA_2.csv: -0.025321827120550644
Lowest trough value in cleaned_30mV 40Hz_µA_3.csv: -0.014109001832828733
No troughs found in cleaned_30mV 40Hz_µA_4.csv
No troughs found in cleaned_30mV 40Hz_µA_5.csv
No troughs found in cleaned_30mV 40Hz_µA_6.csv
No troughs found in cleaned_30mV 40Hz_µA_7.csv
No troughs found in cleaned_30mV 40Hz_µA_8.csv
Lowest trough value in cleaned_30mV 60Hz_µA_1.csv: 0.07806771649567579
Lowest trough value in cleaned_30mV 60Hz_µA_2.csv: 0.04747138608477458
Lowest trough value in cleaned_30mV 60Hz_µA_3.csv: 0.03694583234831743
No troughs found in cleaned_30mV 60Hz_µA_4.csv
