V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7,V.8,µA.8
-0.325821876525879,-0.0374317169189453,-0.325821876525879,-0.132322311401367,-0.325821876525879,-0.0178813934326172,-0.325821876525879,-0.249147415161133,-0.325821876525879,-0.0326633453369141,-0.325821876525879,-0.0474452972412109,-0.325821876525879,-0.0317096710205078,-0.325821876525879,-0.0417232513427734,-0.325821876525879,0.0
-0.326837539672852,-0.0369548797607422,-0.326837539672852,-0.131845474243164,-0.326837539672852,-0.0183582305908203,-0.326837539672852,-0.249147415161133,-0.326837539672852,-0.0331401824951172,-0.326837539672852,-0.0483989715576172,-0.326837539672852,-0.0317096710205078,-0.326837539672852,-0.0426769256591797,-0.326837539672852,0.0
-0.327775001525879,-0.0383853912353516,-0.327775001525879,-0.132322311401367,-0.327775001525879,-0.0188350677490234,-0.327775001525879,-0.249624252319336,-0.327775001525879,-0.0321865081787109,-0.327775001525879,-0.0488758087158203,-0.327775001525879,-0.0317096710205078,-0.327775001525879,-0.0436305999755859,-0.327775001525879,-0.0008274523427299
-0.328790664672852,-0.0383853912353516,-0.328790664672852,-0.132322311401367,-0.328790664672852,-0.0193119049072266,-0.328790664672852,-0.249147415161133,-0.328790664672852,-0.0340938568115234,-0.328790664672852,-0.0488758087158203,-0.328790664672852,-0.0317096710205078,-0.328790664672852,-0.0441074371337891,-0.328790664672852,-0.0008409577832247
-0.329806327819824,-0.0383853912353516,-0.329806327819824,-0.132322311401367,-0.329806327819824,-0.0183582305908203,-0.329806327819824,-0.249743461608887,-0.329806327819824,-0.0336170196533203,-0.329806327819824,-0.0479221343994141,-0.329806327819824,-0.0317096710205078,-0.329806327819824,-0.0436305999755859,-0.329806327819824,-0.0008545984100136
-0.330743789672852,-0.0383853912353516,-0.330743789672852,-0.132322311401367,-0.330743789672852,-0.0188350677490234,-0.330743789672852,-0.250101089477539,-0.330743789672852,-0.0336170196533203,-0.330743789672852,-0.0488758087158203,-0.330743789672852,-0.0312328338623047,-0.330743789672852,-0.0441074371337891,-0.330743789672852,-0.0008673135501642
-0.331759452819824,-0.0383853912353516,-0.331759452819824,-0.13279914855957,-0.331759452819824,-0.0188350677490234,-0.331759452819824,-0.250101089477539,-0.331759452819824,-0.0340938568115234,-0.331759452819824,-0.0474452972412109,-0.331759452819824,-0.0321865081787109,-0.331759452819824,-0.0460147857666016,-0.331759452819824,-0.0008809541769531
-0.332775115966797,-0.0383853912353516,-0.332775115966797,-0.13279914855957,-0.332775115966797,-0.0183582305908203,-0.332775115966797,-0.249862670898438,-0.332775115966797,-0.0340938568115234,-0.332775115966797,-0.0479221343994141,-0.332775115966797,-0.0317096710205078,-0.332775115966797,-0.0460147857666016,-0.332775115966797,-0.0008944596174479
-0.333712577819824,-0.0383853912353516,-0.333712577819824,-0.132322311401367,-0.333712577819824,-0.0183582305908203,-0.333712577819824,-0.249624252319336,-0.333712577819824,-0.0331401824951172,-0.333712577819824,-0.0479221343994141,-0.333712577819824,-0.0321865081787109,-0.333712577819824,-0.0474452972412109,-0.333712577819824,-0.0009069266946001
-0.334728240966797,-0.0374317169189453,-0.334728240966797,-0.131845474243164,-0.334728240966797,-0.0184774398803711,-0.334728240966797,-0.249624252319336,-0.334728240966797,-0.0326633453369141,-0.334728240966797,-0.0474452972412109,-0.334728240966797,-0.0312328338623047,-0.334728240966797,-0.0479221343994141,-0.334728240966797,0.0
